epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,400.794,3.31974,11.8622,3.64123,0,0,0,0,0.33185,0.65616,0.65579,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526
2,848.952,2.93008,4.77053,3.21135,0.00536,0.03427,0.00085,0.0002,0.326,0.68828,0.47983,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268
3,437.681,2.71301,4.55468,2.91488,0.00474,0.12702,0.00198,0.00043,0.29558,0.52662,0.37675,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409
4,859.277,2.38441,4.4968,2.69188,0,0,0,0,0.32415,0.49938,0.37659,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1291.85,2.34859,4.26779,2.60586,0.00124,0.34677,0.00724,0.00207,0.26454,5.30066,0.36694,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1732.52,2.2468,4.27254,2.49006,0.00248,0.35685,0.00568,0.00139,0.26049,0.63849,0.31251,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2177.29,2.21974,4.28118,2.46646,0.00695,0.32258,0.01079,0.00316,0.2663,1.3421,0.32819,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2625.31,2.25644,4.16515,2.39314,0.0048,0.3903,0.00271,0.00059,0.3267,30.7246,0.39643,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3075.39,2.08616,3.96461,2.25163,0.01232,0.29637,0.02367,0.00713,0.25118,0.68885,0.30226,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3527.87,2.09444,3.9941,2.34138,0.0148,0.4493,0.03585,0.01114,0.26707,1.53363,0.31359,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3979.31,2.12559,3.86494,2.3118,0.02495,0.41988,0.02692,0.00847,0.24812,0.89843,0.29077,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4434.18,2.06587,3.72951,2.25148,0.00791,0.75704,0.04453,0.01405,0.2362,1.79252,0.29094,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4885.3,2.02945,3.65146,2.21538,0.03009,0.31812,0.06052,0.02118,0.2563,0.61313,0.29373,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5337.26,1.99399,3.65063,2.12868,0.06374,0.26491,0.08378,0.02868,0.2547,1.7512,0.28914,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5789.4,2.01832,3.57602,2.11488,0.59916,0.18145,0.11965,0.04291,0.24606,1.51632,0.27354,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6243.03,2.00302,3.52907,2.10851,0.027,0.48169,0.07071,0.02236,0.24521,0.54507,0.304,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6698.14,1.9759,3.44088,2.08668,0.01712,0.64939,0.10738,0.03688,0.23838,0.60654,0.27522,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7156.49,1.95659,3.39132,2.08722,0.02791,0.42686,0.04806,0.01386,0.25529,10.9086,0.31885,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7614.21,1.92781,3.39233,2.02729,0.50655,0.41331,0.05813,0.01738,0.24568,16.9286,0.28379,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8068.83,1.97392,3.22151,2.02288,0.06821,0.363,0.08168,0.02768,0.27934,0.53801,0.28815,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8528.12,1.94913,3.23988,2.01139,0.52431,0.38306,0.074,0.02119,0.23236,31.7232,0.26885,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8982.15,1.97793,3.19545,2.03847,0.63141,0.17252,0.13511,0.04881,0.24523,0.55795,0.2633,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
