epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,389.562,3.3764,11.0038,3.80992,0.00107,0.01815,0.0001,2e-05,0.3412,0.52356,0.47612,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526,0.00997579,0.00332526
2,752.97,2.6515,4.814,2.9977,0.03125,0.00202,0.00019,6e-05,0.30057,0.71061,0.48628,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268,0.019778,0.00659268
3,1109.22,2.54077,4.36172,2.71252,0.01765,0.10765,0.00565,0.00138,0.29183,0.67747,0.42216,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409,0.0293823,0.00979409
4,1469.82,2.34404,4.2006,2.52246,0.00116,0.76927,0.00452,0.00127,0.27926,9.55258,0.32153,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1829.64,2.33609,4.16907,2.44284,0.00557,0.69791,0.01455,0.00425,0.25711,2.49709,0.30728,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2188.22,2.27459,4.05672,2.28563,0.00851,0.48007,0.01323,0.00362,0.2968,1.64646,0.32181,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2547.12,2.13796,3.86541,2.15428,0.00738,0.6795,0.03845,0.01268,0.27012,3.35419,0.29206,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2906.14,2.14775,3.79573,2.16237,0.0043,0.84909,0.06512,0.0211,0.24666,8.34638,0.27528,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3262.01,2.15132,3.67254,2.18975,0.02364,0.47981,0.07372,0.029,0.25022,0.64545,0.27604,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3619.53,2.10539,3.56669,2.1209,0.57597,0.16532,0.0798,0.02827,0.24755,1.31802,0.27184,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
